day,block,n,mean_residual
21,78,9409,-0.007806914707659806
21,79,9581,0.0011274789413120356
21,80,8976,-0.00744247952568864
21,81,8932,-0.006194339499990355
21,82,8604,-0.0007708167413253029
21,83,8516,0.007315133273869137
21,84,7807,-0.001835761827033285
21,85,7309,-0.0005384424745936916
21,86,6807,-0.005023989060032391
21,87,6034,0.005574467444378975
21,88,5114,0.011907107356462727
21,89,4774,-0.007227220636268907
21,90,4096,0.014125585130101561
21,91,3685,0.0013577447676715272
21,92,2607,0.008452628913116744
21,93,2209,-0.01612812738415946
21,94,1824,0.008200608186107081
21,95,1578,-0.0014413692446943968
